"Please Note That This Is A Working Document And Subject To Change. Approved courses may not guarantee eligibility for enrollment- this ultimately will be determined by schools/ sites.
",,,,,,,,,
This sheet is a list of all courses that have been approved as counting towards particular degree requirements. It will continue to expand as more courses are evaluated and approved.,,,,,,,,,
"If you would like to check on a course that is not yet on the sheet, please email your advisor with the course number, name, and what degree requirement(s) you wish to count it for.",,,,,,,,,
Cannot find a course? Submit the form below for a course evaluation. https://shanghai.nyu.edu/advising/academic-procedures/course-evaluation,,,,,,,,,
,,,,,,,,,
Course Number,Course Title,Credit,Major/Minor,Core,(GN) Minor,Note,Date Added,Reg Office,
"	
CAMS-UA 101,Child and Adolescent Psychopathology,4,"Sosical Science (focus- 200 level, psychology track)",,,,11/14/2017,11/14/2017,
CAMS-UA 133,From Huck Finn to Columbine:Understanding Disruptive Behaviors in Chldrn & Adolscnt ,4,Social Science 200-level focus course for the Psychology track,,,,8/22/2021,8/23/2021,
CAMS-UA 141,Child Brain Devel: App Frm Neurosci to Practice,4,Neural Science Elective,,,,11/15/2015,11/17/2015,
CAMS-UA 144 ,Looking Back On Growing Up,4,,"Science, Technology, and Society",,,4/10/2018,4/16/2018,
CAMS-UA 149,Play & Creativity,4,Social Science - 200 level focus course in the Psychology track,,,,,10/20/2020,
CAMS-UA 202 ,Adv. Seminar in Personality Disorders ,4,Social Science 200-level focus course for the Psychology track,,,,8/22/2021,8/23/2021,
CAMS-UA 502,The Science and Psychology of Marijuana,2,,"Science, Technology, and Society",,,4/12/2019,4/29/2019,
CAMS-UA 503,"Clicks, Likes, and Tweets: Behavioral Addiction in the Digital Space",2,,"Science, Technology, and Society (counts for half of the requirement, need to be paired with another 2-credit course)",,,12/3/2020,12/9/2020,
CHEM-GA 1815 ,Macromolecular Chemistry,4,Chemistry Elective ,,,,4/28/2020,5/21/2020,
CHEM-GA 1818,Advanced Biophysical Chemistry ,4,Chemistry Major Elective,,,,12/12/2019,2/3/2020,
CHEM-GA-1311,Adv Organic Chem: React of Organic Compound ,4,Chemistry Major Elective,,,Chemistry majors can only count one graduate-level course as a Chemistry major elective.,1/24/2019,1/25/2019,
CHEM-GA-1313 ,Physical Organic Chemistry,4,Chemistry Major Elective,,,Chemistry majors can only count one graduate-level course as a Chemistry major elective.,1/24/2019,1/25/2019,
CHEM-UA 125,General Chemistry I & Laboratory,5,FoS Chemsitry I + Laboratory,ED,,,3/7/2016,4/26/2016,
CHEM-UA 126,General Chemistry II & Laboratory,5,FoS Chemsitry II + Laboratory,ED,,,3/7/2016,4/26/2016,
CHEM-UA 127,Advanced General Chemistry I & Laboratory,5,FoS Chemsitry I + Laboratory,ED,,,3/7/2016,4/26/2016,
CHEM-UA 128,Advanced General Chemistry II & Laboratory ,5,FoS Chemsitry II + Laboratory,ED,,,3/7/2016,4/26/2016,
CHEM-UA 225,Organic Chemistry I & Laboratory,5,Biology Major,,,Equivalent to CHEM-SHU 225 Organic Chemistry I & CHEM-SHU 225L Organic Chemistry I Lab,10/30/2015,11/9/2015,
CHEM-UA 225,Organic Chemistry I & Laboratory,5,Chemistry Major,,,Equivalent to CHEM-SHU 225 Organic Chemistry I,11/15/2015,11/17/2015,
CHEM-UA 226,Organic Chemistry II & Laboratory,5,Chemistry Major,,,,11/15/2015,11/17/2015,
